400,8
29.7,33.9,25.9,528623.5,79265.0,518.2,72.8,2.3,0
44.6,40.3,39.3,619650.6,107092.8,629.7,123.8,2.4,1
35.0,27.0,21.2,452447.5,62342.5,432.7,131.1,2.2,0
38.5,28.6,38.2,687598.7,108832.7,779.7,119.3,3.1,1
40.3,27.4,31.9,605183.9,97321.1,649.2,97.8,2.9,0
40.6,31.7,29.6,587007.8,88009.7,698.3,86.2,2.7,0
39.0,29.1,27.7,501625.3,80593.8,551.9,106.6,2.2,1
48.0,29.2,30.2,537750.3,88159.0,490.9,100.2,2.8,1
47.4,25.9,28.8,521269.0,86896.5,541.4,92.3,3.0,1
40.4,28.1,39.3,712721.2,100532.6,684.1,95.0,3.0,0
51.9,27.8,34.2,709153.9,98789.2,579.7,89.7,2.8,1
48.5,34.2,35.6,527907.7,99285.5,460.5,70.0,1.7,1
40.3,29.3,27.0,618297.9,80782.6,578.6,92.6,2.4,1
57.7,34.9,22.9,393755.4,74908.7,487.9,140.3,2.2,0
40.4,26.9,29.0,518556.8,87570.3,554.0,69.2,2.9,1
42.1,32.9,31.4,537375.3,97717.2,540.0,84.6,2.6,1
39.2,30.2,29.7,498193.3,85443.7,521.1,64.5,2.5,1
47.9,37.5,41.4,618277.2,115791.6,549.7,129.3,2.5,1
44.9,32.6,24.9,397923.7,78059.6,353.2,95.4,2.4,0
50.4,31.8,24.2,565998.3,86250.7,598.7,153.2,2.8,1
40.5,33.2,26.9,504059.2,77980.8,391.5,110.9,2.0,0
46.4,29.1,25.5,504948.0,81082.1,605.3,96.1,3.2,1
42.0333333333,29.2666666667,25.0,559570.466667,70772.3666667,496.433333333,74.0666666667,2.6,0
58.8,29.6,31.5,492910.0,108509.9,603.8,140.9,3.6,0
46.8,34.9,29.7,627938.4,97603.4,725.8,105.7,2.9,1
40.6,30.4,32.7,591123.5,83429.3,495.9,98.9,2.4,0
41.2,25.9,21.1,568812.6,63016.6,418.0,151.6,2.2,0
34.6,29.7,29.2,568337.9,83691.8,571.0,122.0,2.4,0
39.2,25.7,25.2,573306.8,88487.2,680.5,116.9,2.3,1
46.4,35.0,33.8,645977.4,101561.3,738.5,87.3,2.4,0
44.6,25.9,28.3,468821.9,77443.2,546.0,119.9,2.4,1
50.4,34.8,28.9,476404.4,86310.8,489.2,89.6,2.5,0
44.1,39.5,27.8,471882.5,82270.8,375.4,69.0,1.8,1
44.0,25.7,27.9,536744.5,73587.7,412.4,117.0,2.5,1
42.2,30.7,34.1,593452.6,94416.3,652.0,82.1,3.5,0
